Rating,Set,Classification,Soundcloud,Youtube
,Jamie xx Boiler Room ReykjavÃ­k DJ Set,Breaks & Experimental,https://soundcloud.com/platform/jamie-xx-boiler-room-reykjavik-dj-set,https://youtu.be/RHU4nXddLNU?si=IO5_Tv2IKzmlRqcY
,Jan Blomqvist live at Tossa de Mar in Spain for Cercle,Melodic House & Techno,https://soundcloud.com/cerclelive/jan-blomqvist-live-tossa-de-mar-for-cercle?si=715fd314cbe94427bda449174f610460&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/w1ElkNNsfm8?si=tW7TfG8w9kJJkNJA
,Jayda G Boiler Room x Dekmantel Festival DJ Set,Disco & Funky House,https://soundcloud.com/platform/jayda-g-dekmantel,https://youtu.be/qy2D66L8lBw?si=lbHvhK3Wdh2HzQsI
,Jimi Jules - BBC Radio 1 Essential Mix,Minimal & Deep House,,https://youtu.be/wb2UbjFcPf4?si=PSDMDyrt6B2X08d1
,"Job Jobse @ Sleepless Floor, Melt! Festival 2015",Trance & High Energy Rave,https://soundcloud.com/jobjobse/melt-sleepless-floor-2015,
,Job Jobse at Lente Kabinet 2019,Trance & High Energy Rave,https://soundcloud.com/dkmntl/job-jobse-at-lente-kabinet-festival-2019?si=7377d9f4c1fd46d0b2b01c5a56d13614&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,
,Job Jobse Wave Mix | Boiler Room x AVA festival,Trance & High Energy Rave,https://soundcloud.com/platform/job-jobse-1?si=e747760b057b4f348ba77d24f381195d&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/ojE9LTSAEbk?si=2-XwNTLoXq-_yatN
,Joris Voorn @ Grand Palais for Cercle,Melodic House & Techno,https://soundcloud.com/chubin-vijande/cercle-joris-voorn-live-grand-palais,https://youtu.be/nZFwAbZs4tU?si=0zl9-WPeBhM5W6hw
,Joris Voorn All Night at Fabric London 08.01.2022 Pt.1,Melodic House & Techno,https://soundcloud.com/joris-voorn/fabriclondonpt1?si=0a1a0d738dcc4a77b219425055887c77&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/_9gd9mGvmDs?si=tZi_BRaXdVkf0crw
,"Joris Voorn Live Stream | Audio Obscura at Kinderdijk, Netherlands",Melodic House & Techno,https://soundcloud.com/audio-obscura/joris-voorn-audio-obscura-revere-series-at-unesco-world-heritage-site-kinderdijk-11-june-2020,https://youtu.be/bycZFC7agXA?si=MTXZJKwwtT5uh88D
,Kenny Dope Gonzalez Boiler Room London DJ Set,Classic House & Garage,https://soundcloud.com/platform/kenny-dope-gonzalez?si=e5ca55d441d3424ab4ea42780e55f059&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/cwENwGqTukE?si=WEqSrMGmzC67O83y
,KI/KI | Boiler Room Festival Amsterdam: X,Trance & High Energy Rave,https://soundcloud.com/platform/ki-ki-boiler-room-festival,https://youtu.be/m5qSdEAXNfw?si=9iAP4FrakAMCIrL-
,KI/KI | Boiler Room x AVA Festival 2024,Trance & High Energy Rave,https://soundcloud.com/platform/ki-ki-ava-festival-2024,https://youtu.be/obByzP5X3mc?si=ld6NssqTGWSafTN2
ð??¥ð??¥ð??¥,KI/KI b2b Marlon Hoffstadt - 5 Hours On The Beach,Trance & High Energy Rave,https://soundcloud.com/marlonhoffstadt/kiki-marlon-hoffstadt-5-hours,https://www.youtube.com/watch?v=eG4_srlKf9Y
,"Kiasmos live for Cercle at Citadelle de Sisteron, France",Minimal & Deep House,https://soundcloud.com/massivehoersturz/shimza-for-cercle-at-citadelle-de-sisteron-france?si=26104cdb366244acb0805c7ed70d4d5a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/cxvdImFbNyQ?si=iN-hd8lYGrgfG7vr
,Kink Boiler Room London Live Set,Classic House & Garage,https://soundcloud.com/platform/karenn?si=1b51456b838441a78a19cbb380efc593&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/-0MoCENw8OQ?si=_WmDOXeIKvNOLGjr
,KlÃ©o | Boiler Room x Eristoff x United Identities: Amsterdam,Disco & Funky House,https://soundcloud.com/platform/kleo-boiler-room-x-eristoff-x-united-identities-amsterdam-1,https://www.youtube.com/live/vKxAD2_JuG8?si=y4X3DX3jJ_bdJMCT
,KÃ¶lsch @ Tour Eiffel for Cercle,Melodic House & Techno,,https://youtu.be/DiiKdG4lOug?si=FpBsZ1L0bMXbrSpS
,Kyle Starkey b2b Bella Claxton at Intercell Melbourne,Hard & Driving Techno,https://soundcloud.com/intercell/kyle-starkey-b2b-bella-claxton-at-intercell-melbourne,https://youtu.be/yJ3C6GwNPbs?si=11C_sU5gtdDpoBpP
,LAMMER | Euphoric House & Trance DJ Set @ club TURN w/ Friends,Trance & High Energy Rave,https://soundcloud.com/club-turn/lammer-dj-set,https://youtu.be/JRg6QXqTduE?si=25u1N_Q6PIQx1kmt
,"Laura Meester @Lowlands, HaciÃ«nda 18.08.24 (Future upload, check closer to date)",Minimal & Deep House,https://soundcloud.com/laura-meester-850776437/laura-meester-lowlands-hacienda-180824,
,Live from Lost Village - Demi RiquÃ­simo b2b Nyra,Disco & Funky House,https://soundcloud.com/lost-village-festival/live-from-lost-village-demi-riquisimo-b2b-nyra?si=d291bd9d3bb54a57a3fd989e4664fcaa&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://www.youtube.com/live/X7img-z9V3s?si=TRkm3ORB--OgumH7
ð??¥,"Live at the WORK Warehouse: ANNÄ? (Sep. 1st, 2025)",Hard & Driving Techno,https://soundcloud.com/6amgroup/live-at-the-work-warehouse-anne-sep-1st-2025,
,Lola Haro / June 1 / 4pm-5pm,Disco & Funky House,https://soundcloud.com/lola-haro/lola-haro-x-hor-radio-010620?si=53c50bb691724f4fa7cd5165d45b8c60&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://www.youtube.com/live/O33GXp-mgOA?si=2q0raPFCZizdj-Gi
,Maceo Plex Boiler Room Berlin DJ Set,Melodic House & Techno,https://soundcloud.com/platform/maceo-plex-boiler-room?si=a05b73e19ba047b3ac7aac4fff56f154&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/5vHRUsP20dQ?si=w_ULDCw-2boI5asW
,Madmotormiquel B2B Nacho Isa - Pink Mammoth - Burning Man 2024,Melodic House & Techno,https://soundcloud.com/pink-mammoth-official/madmotormiquel-b2b-nacho-isa-pink-mammoth-burning-man-2024,
,Malugi B2B Interplanetary Criminal Club Set From DJ Mag HQ,Breaks & Experimental,,https://youtu.be/mxQSf6DXOwo?si=_VSkyfhssQCoHKE6
,Many MÃ¸re Radio w/ Gauss,Minimal & Deep House,https://soundcloud.com/radio-many-more/many-more-radio-w-gauss?si=3384c06854c349f08d3a62b4ba43869d&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,
,Marlon Hoffstadt | HÃ?R - Feb 1 / 2023,Trance & High Energy Rave,https://soundcloud.com/marlonhoffstadt/marlon-hoffstadt-aka-dj-daddy-trance-hor-feb-1st-2023,https://www.youtube.com/live/ry9hngD4L6g?si=-qRYBuVfxsT1oepG
,Marlon Hoffstadt B2B Malugi | Boiler Room London: Club Heart Broken,Trance & High Energy Rave,https://soundcloud.com/platform/marlon-hoffstadt-b2b-malugi,https://youtu.be/j6QqIbRPQ34?si=6_vcfzkcpQckTjHV
,"Marlon Hoffstadt l Daddycation at Awakenings ADE, Gashouder (Likely future upload or event archive)",Trance & High Energy Rave,https://soundcloud.com/john-van-gils-746734369/marlon-hoffstadt-l-daddycation,https://youtu.be/4frUrQnprXo?si=U0oAzkiHkWnkBjpD
,Marsh - House Of Chill (Sirius XM Chill),Melodic House & Techno,https://soundcloud.com/marshmusician/houseofchill,
,Mees SalomÃ© live from De Marktkantine - 27 March 2020,Melodic House & Techno,https://soundcloud.com/kushal-bhandari-541187197/mees-salome-live-from-de?si=6c6e6183a0af44d2b8b89ab94661e898&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/HHSrLEtIhzw?si=5efYMwqGxg8lWkvM
,MELÃ? in The Lab LA,Disco & Funky House,,https://youtu.be/rRvf2wAm9zQ?si=v6PDzGCYgQQGENtN
,Mind Against Boiler Room Berlin DJ Set,Melodic House & Techno,https://soundcloud.com/platform/mind-against?si=4ff21eeaebcb424c8e358b4dd71c6e2c&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/znMAloaLn3s?si=ZwZ37EYPGtL4S4S0
,Mona Yim | HÃ?R - Jun 27 / 2022,Breaks & Experimental,,https://www.youtube.com/live/nyWIklsCB5Y?si=7qRMg9XNQWXRpoPi
,Moodman Boiler Room Tokyo DJ Set,Minimal & Deep House,https://soundcloud.com/platform/moodman,https://youtu.be/xiRt0jyPeP8?si=rHEJiVgg18XEJY3g
ð??¥ð??¥ð??¥,Moody Mehran - Wildeburg 2024,Trance & High Energy Rave,https://soundcloud.com/wildeburg/moody-mehran-wildeburg,
,"Mr. Mendel @ Shourai Sessions, RADION, Amsterdam",Disco & Funky House,,https://youtu.be/iMJe1dF9rhk?si=jl507Ahr2iMFgFT1
,MÃºsica para Perderse en la Noche // Mixtape #17 by Pabels,Minimal & Deep House,https://soundcloud.com/elbaroncafe/musica-para-perderse-en-la-noche,
,N'to - Jacques in Paris France for cercle,Melodic House & Techno,https://soundcloud.com/user913386542/jacques-in-paris-france-for?si=3635f05ac96047b48754c347b27f9550&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/LL0b2ZKEJoY?si=Gx0_j094upt4MrQR
,NICKY ELISABETH @ DGTL ADE 2024 17.10.2024,Melodic House & Techno,https://soundcloud.com/dgtl-festival/nicky-elisabeth-dgtl-ade-2024-17102024,https://youtu.be/L6MLDUB9CNw?si=SdWSh18msazJ76PN
,Nicola Cruz Boiler Room Tulum x Comunite Live Set,Chill & Organic Electronica,https://soundcloud.com/platform/nicola-cruz,https://youtu.be/BcJCNLgEsHs?si=Gt0NN9DmKp07kAh5
,Nicolas Jaar Boiler Room NYC DJ Set at Clown & Sunset Takeover,Breaks & Experimental,https://soundcloud.com/novacthek/nicolas-jaar-boiler-room-nyc,https://youtu.be/IUjWumGIqe8?si=l4P8FdsLUiEs26Cv
,NiconÃ© | Live at Hippie New Year 2016/17,Minimal & Deep House,https://soundcloud.com/ritter-butzke-radio/nicone-live-at-hippie-new-year-201617?si=3ae192a263474740baf19ec907425ecb&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,
,Nightmares On Wax Boiler Room London DJ Set,Disco & Funky House,https://soundcloud.com/platform/nightmares-on-wax-1h30-min,https://youtu.be/Q692lHFaLVM?si=leZjzJtzM-HMF4he
,Oden & Fatzo Live Set | Boiler Room x FLY Open Air 2022,Minimal & Deep House,https://soundcloud.com/davidigretti/oden-fatzo-live-set-boiler-room-x-fly-open-air-2022?si=d25284c69e3044df9e52f9633ee6091c&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/E-rSgNpqPew?si=Gx7ml6UrMkr83zgy
,Oliver Koletzki - Deep House Amsterdam DGTL Podcast #007,Melodic House & Techno,https://soundcloud.com/deep-house-amsterdam/oliver-koletzki-deep-house-amsterdam-dgtl-podcast-007?si=03c6a57609dc4bf4a0b31f909f5fb41c&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/I9OYNwWDzjo?si=E9zmF_anfkeZHtQ8
,Oliver Koletzki Boiler Room Berlin DJ Set,Melodic House & Techno,https://soundcloud.com/platform/oliver-koletzki?si=cb184cc6d3c44b718243346aa9094140&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/Uec7Hmvb5YE?si=F9DbJ6TTMSdEbBdX
,Oliver Koletzki Time Warp Live Mix,Melodic House & Techno,https://soundcloud.com/timewarp_official/oliver-koletzki-time-warp-live,https://youtu.be/gS4Org0Nr6Q?si=Jjtnuxjxd9SZxmJF
,Olympe live set for Klapster at Fabbrica del Vapore Milan,Melodic House & Techno,,https://youtu.be/hX7SMNdyJ_c?si=xYkGcYFEcf8OnMLk
,Or:la Boiler Room x AVA Festival DJ Set,Breaks & Experimental,https://soundcloud.com/platform/orla-boiler-room-x-ava-festival-dj-set,https://youtu.be/wq2z2u58ma0?si=5y8-wyQegn4lIBzp
,Overmono | Boiler Room: Manchester,Breaks & Experimental,https://soundcloud.com/platform/overmono-manchester,https://youtu.be/xgJBhezlMoE?si=wUVMZfgC3oB5AZJm
,Overmono | London Live Set,Breaks & Experimental,https://soundcloud.com/platform/overmono?si=7dd416a3b0124403b1b35bda93daed69&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/BpA2n8bvpOk?si=TVc0mdw9uTrfm1Xt
,Pablo Bozzi | Boiler Room x Khidi: Tbilisi,Trance & High Energy Rave,https://soundcloud.com/platform/pablo-bozzi-boiler-room-x,https://youtu.be/pKl7GVk60Ow?si=A08m0YSONsG5hbYw
,Palms Trax | Boiler Room x Dekmantel Festival 2018,Classic House & Garage,https://soundcloud.com/platform/palms-trax-3,https://youtu.be/fVlVZTHmkaw?si=LyYVpjOTAjDkgd9E
,Palms Trax | Boiler Room x Dekmantel Festival 2022,Classic House & Garage,https://soundcloud.com/evinrude787/palms-trax-boiler-room-x-dekmantel-festival-2022,https://youtu.be/zfAcYG2HE2s?si=wxJIuiSd1ARm8LIO
,Palms Trax | Boiler Room: Streaming From Isolation | #11,Classic House & Garage,https://soundcloud.com/platform/sfi-palmstrax?si=9f9e1023e86747e982a6b0333a9c3f9a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://www.youtube.com/live/cPo-qzbGLqE?si=KdrVi-LntgDKT227
,Pan-Pot @ MusÃ©e de l'Air et de l'Espace for Cercle,Hard & Driving Techno,https://soundcloud.com/subterra-techno/pan-pot-musee-de-lair-et-de-lespace-for-cercle-paris-france-110917?si=6f8d1e158a3d4b258a4f8cb223013fc7&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/2j5Ok1rYJHk?si=RGeGh2h90t9REj6x
,Parallelle ft Mathilde Marsal Live set from Cappadocia (Beyond Festival),Chill & Organic Electronica,,https://youtu.be/Y-iCSwtdf9A?si=Rwgfpcf7vK7Vzi_g
,Patrice Baumel - Live at Desert Heart Spring 2016,Melodic House & Techno,https://soundcloud.com/patrice-baumel/patrice-baumel-live-at-desert-hearts-spring-2016,https://youtu.be/8bc-HKs_rvY?si=TiImd-JzFpA1gC6S
,PEGASSI | FULL SET | DGTL AMSTERDAM 2025 | 19.4.2025,Trance & High Energy Rave,https://soundcloud.com/dgtl-festival/pegassi-full-set-dgtl-amsterdam-2025-1942025?si=607835c98b31423cbda180fc5b50ee24&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/LmszaaPzIqE?si=z9ch08_1Ibyg88I8
,Peggy Gou | Boiler Room: Streaming From Isolation | #21,Classic House & Garage,https://soundcloud.com/platform/peggy-gou-isolation?si=c02d2223951647f889259fa8b694cc47&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://www.youtube.com/live/jxcK_wENFgo?si=kwSYWCFW3cwP53Jx
ð??¥,Peggy Gou Boiler Room x Dekmantel Festival DJ Set,Classic House & Garage,https://soundcloud.com/platform/peggy-gou?si=06b09e1b8f3d49c1a24351b01378dbad&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/nKHpbiYCtDQ?si=GiRWeeBmSqVDOY7a
,Peggy Gou I #MontblancxMaisonKitsune ð?¦? I Paris,Classic House & Garage,https://soundcloud.com/dksaraohgfhx/live-i-peggy-gou-i?si=85ab351958c94c709f2b86bd9d042678&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/a4Sm1lTkf1I?si=Q8uMKkpZUMPcUMAm
,Perdu... IsBurning #102,Classic House & Garage,https://soundcloud.com/isburning/perduisburning102,
,PRUNK B2B CHRIS STUSSY at LOVELAND Rooftop Sessions | KINGSDAY APRIL 2020,Minimal & Deep House,https://soundcloud.com/loveland-legacy/loveland-rooftop-sessions-prunk-b2b-chris-stussy-ll124?si=4d4c4abd431c467b90b751d511b2412e&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/2oMFvFcdqEU?si=C60yJFe9HAANo2dF
,Purple Disco Machine - Live from Dresden (Glitterbox Virtual Festival),Disco & Funky House,https://soundcloud.com/glitterboxibiza/glitterbox-virtual-festival-purple-disco-machine,https://youtu.be/81qVzKjv4wI?si=g4WxUcOoU-M4DMkW
,PURPLE DISCO MACHINE in The Lab LA,Disco & Funky House,https://soundcloud.com/hot-definisound/purple-disco-machine-in-the-lab-la-2016,https://youtu.be/1aK8S5q7a-8?si=BN2c3KRjf1Ogo73r
,RA.968 Barry Can't Swim,Disco & Funky House,https://soundcloud.com/resident-advisor/ra968-barry-cant-swim?si=ff36e91ea023426780015a08477f4f77&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/t0FIIseyF68?si=ylUWthuBvkXEJ7yQ
ð??¥ð??¥,"RA Live - Narciss - Pitch Music & Arts 2024, Australia",Trance & High Energy Rave,https://soundcloud.com/resident-advisor/ra-live-narciss-pitch-music,
,Rebolledo - Mayan Warrior - Burning Man 2024,Disco & Funky House,https://soundcloud.com/mayanwarriorofficial/rebolledo-mayan-warrior-burning-man-2024?si=13dc2d5cee7647d388f6e3e599cf6237&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,
,Ross From Friends Boiler Room London Live Set,Breaks & Experimental,https://soundcloud.com/platform/ross-from-friends?si=feb6264558c0407b90fe1e1022c133d3&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/EIOujmiRskg?si=fKUQRTcdVANmIEfu
ð??¥ð??¥,salute b2b Barry Can't Swim - Live at Lost Sundays (Sydney) 2024,Disco & Funky House,https://soundcloud.com/user56647057/barry-cant-swim-b2b-salute,https://youtu.be/A_MHvl6_7-Y?si=lOC6-58ZgkYFSCVc
,Schrotthagen | Full Set at Ritter Butzke,Hard & Driving Techno,https://soundcloud.com/hoelli85/schrotthagen-full-set-at?si=9fe41a27fe4e4f63a90d77cc5c270f0c&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/7KnKLX629DA?si=BZgEZ0IP5lIw2biA
,Shanti Celeste | Boiler Room x Bass Coast Festival,Disco & Funky House,https://soundcloud.com/platform/shanti-celeste-boiler-room-x-bass-coast-festival,https://www.youtube.com/live/qPSH0Og0FH0?si=lLu4WSg0I-ebyH1Q
,Shanti Celeste at Lente Kabinet Festival (28/05/2016),Disco & Funky House,https://soundcloud.com/dkmntl/shanti-celeste-lente-kabinet-festival-28052016?in=marjantjaarda/sets/lente-kabinet-2016,https://youtu.be/FrrsTi6M8_Q?si=prsJqw7FUuVkAn36
,sim0ne | Boiler Room: Melbourne,Trance & High Energy Rave,https://soundcloud.com/platform/sim0ne-melbourne-saturday,https://youtu.be/7r_Uc9Ek4s4?si=L-d7vfnM5ZEAuUOj
,Solomun @ ThÃ©Ã¢tre Antique d'Orange for Cercle,Classic House & Garage,https://soundcloud.com/cerclelive/solomun-theatre-antique-dorange-for-cercle?si=f4c20430637b49f0a552e1a9a60e5b36&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/QHDRRxKlimY?si=HySoez7uNycRElq0
,Solomun Boiler Room DJ Set,Classic House & Garage,https://soundcloud.com/platform/solomun?si=3d4b47da514d4995b474276711c31d83&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/bk6Xst6euQk?si=EjYjlr5TDwOkIx29
,Stephan Bodzin Boiler Room Berlin Live Set,Melodic House & Techno,https://soundcloud.com/platform/stephan-bodzin,https://youtu.be/Hv_oF2ol_Ks?si=PY4vztKrHGFGAROS
,Sven VÃ¤th Boiler Room Berlin Groove Magazine DJ set,Trance & High Energy Rave,https://soundcloud.com/platform/br17-sven-v-th,https://youtu.be/uInltd4OkTQ?si=v_20MeXuWH6wTivu
,Sweely (live) for Mixmag x La RelÃ¨ve prÃ©sentent : Electronic Subculture,Disco & Funky House,https://soundcloud.com/electronicsubculture/sweely-live-for-mixmag-x-la-releve-electronic-subculture?si=eab45185aad9473bafc6b5f5ea8291c3&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/vxjcRkZKBPc?si=wEPotP3FtqmMsLJh
,Tala House Mix | Boiler Room Beirut,Classic House & Garage,https://soundcloud.com/platform/tala-house-mix-boiler-room-beirut?si=02016cbe48834467b11971c4a1e9189b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/n-B7IOEfOdY?si=tkPMSdMkTqgU-5RC
,Tale of Us Boiler Room x Nuits Sonores DJ Set,Melodic House & Techno,https://soundcloud.com/platform/tale-of-us-60-min-boiler-room?si=ce5b03668bd2482fbf89056f267380aa&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/y3VcwaxJzhQ?si=lZzPhcCJMkk0nJt_
,"Technasia @ Luciano & Friends, Ushuaia Ibiza 31.08.2012",Hard & Driving Techno,https://soundcloud.com/technasia/technasia-luciano-friends,
,The Blaze @ Nuits de FourviÃ¨re (Full Show HiRes) - ARTE Concert,Melodic House & Techno,https://soundcloud.com/tarakin/the-blaze-nuits-de-fourviere-full-show-hires-arte-concert,https://youtu.be/KEESXIpPhho?si=agJIIVhrv1DKvPJ-
,The Mix 043: Eris Drew & Octo Octa by Mixmag on #SoundCloud,Breaks & Experimental,https://soundcloud.com/mixmag-1/the-mix-043-octo-octa-eris-drew?si=ef4b71dc272e424c89c0daf188cb4254&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,
,Tinzo: Groovy Disco and R&B Mix at a New York Basement Party | Tinzo,Disco & Funky House,https://soundcloud.com/luca-roodenburg/groovy-disco-and-r-b-mix-at-a,https://youtu.be/4nvewes8Inc?si=dniiS2D6K_msfv9s
,Tom Trago Boiler Room DJ Set at ADE,Disco & Funky House,,https://youtu.be/HINdnJvpjwo?si=MXrnj40KjxB3osYd
,Tsepo @ STRAF_WERK Rooftop Session - 12-7-2015,Minimal & Deep House,,https://youtu.be/0x28is_ZtBc?si=ItcIxuP3AE8ID7hX
,TSHA house & rave set in The Lab LDN,Trance & High Energy Rave,,https://youtu.be/VG7ePskDBFM?si=kGMzhBPggE3muPZr
,Young Marco | Boiler Room x Dekmantel 2022,Chill & Organic Electronica,https://soundcloud.com/platform/young-marco-dekmantel-2022?si=634cd6dca87d42dea5b379d6f1565cce&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,https://youtu.be/rViZf2t7BKo?si=-THbTHPCqIwKxNYm
,Young Marco at Lentekabinet 2024 - dekmantel,Chill & Organic Electronica,https://soundcloud.com/dkmntl/young-marco-at-lentekabinet2024,
,"ZHU at Hakuba Iwatake in Nagano, Japan for Cercle",Classic House & Garage,https://soundcloud.com/cerclelive/zhu-hakuba-mountains-for-cercle,https://youtu.be/XHNHq1mC0VQ?si=AtFItvxqg7naaV65
